# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-05-22
#
# GRDC-No.:              1160320
# River:                 DORINGRIVIER
# Station:               ELANDS DRIFT - ASPOORT (27712202)
# Country:               --
# Latitude (DD):       -32.502778
# Longitude (DD):      19.535
# Catchment area (km²):      
# Altitude (m ASL):        389.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: South Africa - Department of Water and Sanitation (DWA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1923 - 2022
# No. of years:          100
# Last update:           2022-10-17
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 1191
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1932-07-01;--:--;     35.297;     34.571; 100
1932-08-01;--:--;      8.549;      8.532; 100
1932-09-01;--:--;      5.874;      5.869; 100
1932-10-01;--:--;      4.648;      4.638; 100
1932-11-01;--:--;      1.070;      1.063; 100
1932-12-01;--:--;      0.284;      0.284; 100
1933-01-01;--:--;      0.103;      0.103; 100
1933-02-01;--:--;      0.107;      0.107; 100
1933-03-01;--:--;      0.283;      0.277; 100
1933-04-01;--:--;      0.261;      0.261; 100
1933-05-01;--:--;      0.745;      0.731; 100
1933-06-01;--:--;     33.541;     32.148; 100
1933-07-01;--:--;     54.380;     54.954; 100
1933-08-01;--:--;     16.526;     16.451; 100
1933-09-01;--:--;      7.555;      7.520; 100
1933-10-01;--:--;      3.279;      3.273; 100
1933-11-01;--:--;      2.166;      2.159; 100
1933-12-01;--:--;      4.132;      3.967; 100
1934-01-01;--:--;      0.155;      0.155; 100
1934-02-01;--:--;      0.130;      0.130; 100
1934-03-01;--:--;      0.830;      0.719; 100
1934-04-01;--:--;      0.370;      0.370; 100
1934-05-01;--:--;      1.812;      1.730; 100
1934-06-01;--:--;      2.119;      2.115; 100
1934-07-01;--:--;     15.806;     15.644; 100
1934-08-01;--:--;      6.230;      6.144; 100
1934-09-01;--:--;     16.052;     15.194; 100
1934-10-01;--:--;     10.854;     10.429; 100
1934-11-01;--:--;      8.134;      7.808; 100
1934-12-01;--:--;      0.960;      0.960; 100
1935-01-01;--:--;      0.211;      0.211; 100
1935-02-01;--:--;      0.143;      0.143; 100
1935-03-01;--:--;      0.168;      0.167; 100
1935-04-01;--:--;      0.380;      0.380; 100
1935-05-01;--:--;      3.559;      3.487; 100
1935-06-01;--:--;     13.572;     13.207; 100
1935-07-01;--:--;     15.515;     15.373; 100
1935-08-01;--:--;     25.201;     27.546; 100
1935-09-01;--:--;     25.186;     24.704; 100
1935-10-01;--:--;      3.129;      3.128; 100
1935-11-01;--:--;      3.596;      3.567; 100
1935-12-01;--:--;      0.409;      0.409; 100
1936-01-01;--:--;      0.284;      0.283; 100
1936-02-01;--:--;      0.118;      0.118; 100
1936-03-01;--:--;      0.163;      0.163; 100
1936-04-01;--:--;      0.266;      0.266; 100
1936-05-01;--:--;      0.784;      0.774; 100
1936-06-01;--:--;      2.220;      2.217; 100
1936-07-01;--:--;     12.189;     11.964; 100
1936-08-01;--:--;     32.416;     31.333; 100
1936-09-01;--:--;     34.127;     35.360; 100
1936-10-01;--:--;      2.442;      2.442; 100
1936-11-01;--:--;      1.636;      1.624; 100
1936-12-01;--:--;      8.816;      8.164; 100
1937-01-01;--:--;      0.972;      0.881; 100
1937-02-01;--:--;      0.136;      0.133; 100
1937-03-01;--:--;      0.121;      0.120; 100
1937-04-01;--:--;      1.005;      0.996; 100
1937-05-01;--:--;      6.823;      6.693; 100
1937-06-01;--:--;     43.719;     43.180; 100
1937-07-01;--:--;     54.050;     53.216; 100
1937-08-01;--:--;     12.078;     12.074; 100
1937-09-01;--:--;      3.832;      3.832; 100
1937-10-01;--:--;      2.142;      2.139; 100
1937-11-01;--:--;      0.819;      0.819; 100
1937-12-01;--:--;      4.128;      3.920; 100
1938-01-01;--:--;      1.443;      1.346; 100
1938-02-01;--:--;      0.143;      0.143; 100
1938-03-01;--:--;      0.173;      0.173; 100
1938-04-01;--:--;      0.682;      0.665; 100
1938-05-01;--:--;     10.903;     10.221; 100
1938-06-01;--:--;      4.014;      4.004; 100
1938-07-01;--:--;      5.177;      5.103; 100
1938-08-01;--:--;     16.154;     15.809; 100
1938-09-01;--:--;     20.942;     20.571; 100
1938-10-01;--:--;      5.309;      5.307; 100
1938-11-01;--:--;      1.268;      1.267; 100
1938-12-01;--:--;      0.283;      0.283; 100
1939-01-01;--:--;      0.131;      0.131; 100
1939-02-01;--:--;      0.779;      0.668; 100
1939-03-01;--:--;      0.187;      0.187; 100
1939-04-01;--:--;      0.405;      0.403; 100
1939-05-01;--:--;     12.525;     11.522; 100
1939-06-01;--:--;      2.675;      2.675; 100
1939-07-01;--:--;      2.695;      2.694; 100
1939-08-01;--:--;     14.180;     14.077; 100
1939-09-01;--:--;      7.350;      7.323; 100
1939-10-01;--:--;      1.279;      1.278; 100
1939-11-01;--:--;      0.639;      0.632; 100
1939-12-01;--:--;      0.127;      0.127; 100
1940-01-01;--:--;      0.099;      0.099; 100
1940-02-01;--:--;      0.427;      0.367; 100
1940-03-01;--:--;      0.183;      0.182; 100
1940-04-01;--:--;      2.862;      2.677; 100
1940-05-01;--:--;      5.228;      5.173; 100
1940-06-01;--:--;     15.657;     15.448; 100
1940-07-01;--:--;     10.343;     10.160; 100
1940-08-01;--:--;      6.862;      6.851; 100
1940-09-01;--:--;      5.357;      5.343; 100
1940-10-01;--:--;      1.821;      1.820; 100
1940-11-01;--:--;      4.269;      4.060; 100
1940-12-01;--:--;      0.489;      0.488; 100
1941-01-01;--:--;      1.010;      0.996; 100
1941-02-01;--:--;      0.117;      0.117; 100
1941-03-01;--:--;      0.121;      0.121; 100
1941-04-01;--:--;      2.475;      2.416; 100
1941-05-01;--:--;     29.497;     30.544; 100
1941-06-01;--:--;     70.683;     71.598; 100
1941-07-01;--:--;     35.316;     36.959; 100
1941-08-01;--:--;     42.313;     43.389; 100
1941-09-01;--:--;     60.886;     62.782; 100
1941-10-01;--:--;     10.394;     10.375; 100
1941-11-01;--:--;      4.361;      4.360; 100
1941-12-01;--:--;      0.981;      0.979; 100
1942-01-01;--:--;      0.363;      0.363; 100
1942-02-01;--:--;      0.202;      0.201; 100
1942-03-01;--:--;      0.239;      0.239; 100
1942-04-01;--:--;      0.401;      0.401; 100
1942-05-01;--:--;      3.460;      3.403; 100
1942-06-01;--:--;     71.441;     73.151; 100
1942-07-01;--:--;      9.567;      9.534; 100
1942-08-01;--:--;     17.261;     17.020; 100
1942-09-01;--:--;      6.477;      6.472; 100
1942-10-01;--:--;      3.498;      3.484; 100
1942-11-01;--:--;      1.368;      1.368; 100
1942-12-01;--:--;      0.846;      0.840; 100
1943-01-01;--:--;      0.189;      0.189; 100
1943-02-01;--:--;      0.217;      0.217; 100
1943-03-01;--:--;      0.284;      0.284; 100
1943-04-01;--:--;      0.414;      0.414; 100
1943-05-01;--:--;      0.604;      0.603; 100
1943-06-01;--:--;      4.776;      4.698; 100
1943-07-01;--:--;     51.582;     50.536; 100
1943-08-01;--:--;     59.562;     61.134; 100
1943-09-01;--:--;      7.647;      7.585; 100
1943-10-01;--:--;      7.580;      7.520; 100
1943-11-01;--:--;      3.742;      3.701; 100
1943-12-01;--:--;      1.184;      1.182; 100
1944-01-01;--:--;      0.254;      0.254; 100
1944-02-01;--:--;      0.136;      0.136; 100
1944-03-01;--:--;      0.356;      0.353; 100
1944-04-01;--:--;      0.500;      0.500; 100
1944-05-01;--:--;      3.944;      3.858; 100
1944-06-01;--:--;     35.607;     35.187; 100
1944-07-01;--:--;     26.243;     26.003; 100
1944-08-01;--:--;     30.484;     29.720; 100
1944-09-01;--:--;     15.632;     15.436; 100
1944-10-01;--:--;     13.969;     13.840; 100
1944-11-01;--:--;      2.494;      2.491; 100
1944-12-01;--:--;      1.880;      1.871; 100
1945-01-01;--:--;      0.350;      0.350; 100
1945-02-01;--:--;      0.190;      0.179; 100
1945-03-01;--:--;      0.267;      0.251; 100
1945-04-01;--:--;      0.426;      0.422; 100
1945-05-01;--:--;     16.814;     16.297; 100
1945-06-01;--:--;     56.303;     58.043; 100
1945-07-01;--:--;     52.387;     54.208; 100
1945-08-01;--:--;     17.110;     17.078; 100
1945-09-01;--:--;      6.467;      6.465; 100
1945-10-01;--:--;      7.416;      7.416; 100
1945-11-01;--:--;      1.268;      1.268; 100
1945-12-01;--:--;      0.498;      0.498; 100
1946-01-01;--:--;      0.347;      0.347; 100
1946-02-01;--:--;      1.478;      1.478; 100
1946-03-01;--:--;      0.353;      0.353; 100
1946-04-01;--:--;      2.520;      2.520; 100
1946-05-01;--:--;      4.139;      4.139; 100
1946-06-01;--:--;      1.735;      1.735; 100
1946-07-01;--:--;      6.152;      6.152; 100
1946-08-01;--:--;      4.934;      4.934; 100
1946-09-01;--:--;     38.486;     38.486; 100
1946-10-01;--:--;      4.824;      4.824; 100
1946-11-01;--:--;      1.424;      1.424; 100
1946-12-01;--:--;      0.854;      0.854; 100
1947-01-01;--:--;      0.125;      0.124; 100
1947-02-01;--:--;      0.110;      0.110; 100
1947-03-01;--:--;      4.072;      4.071; 100
1947-04-01;--:--;      0.329;      0.329; 100
1947-05-01;--:--;     12.260;     12.260; 100
1947-06-01;--:--;      9.818;      9.818; 100
1947-07-01;--:--;     70.813;     70.813; 100
1947-08-01;--:--;     36.002;     36.002; 100
1947-09-01;--:--;     12.651;     12.651; 100
1947-10-01;--:--;      3.639;      3.639; 100
1947-11-01;--:--;      3.902;      3.902; 100
1947-12-01;--:--;      0.247;      0.247; 100
1948-01-01;--:--;      0.126;      0.125; 100
1948-02-01;--:--;      0.374;      0.374; 100
1948-03-01;--:--;     22.485;     22.485; 100
1948-04-01;--:--;     30.423;     30.423; 100
1948-05-01;--:--;     32.981;     32.980; 100
1948-06-01;--:--;     13.853;     13.853; 100
1948-07-01;--:--;     37.779;     37.779; 100
1948-08-01;--:--;     28.006;     28.006; 100
1948-09-01;--:--;     21.840;     21.840; 100
1948-10-01;--:--;      9.098;      9.098; 100
1948-11-01;--:--;      2.386;      2.386; 100
1948-12-01;--:--;      0.764;      0.764; 100
1949-01-01;--:--;      0.480;      0.480; 100
1949-02-01;--:--;      0.334;      0.334; 100
1949-03-01;--:--;      0.348;      0.348; 100
1949-04-01;--:--;      0.627;      0.628; 100
1949-05-01;--:--;      5.537;      5.537; 100
1949-06-01;--:--;     13.265;     13.266; 100
1949-07-01;--:--;      9.384;      9.384; 100
1949-08-01;--:--;     30.109;     30.109; 100
1949-09-01;--:--;     13.779;     13.779; 100
1949-10-01;--:--;     10.621;     10.621; 100
1949-11-01;--:--;     35.039;     35.039; 100
1949-12-01;--:--;      2.967;      2.967; 100
1950-01-01;--:--;      0.561;      0.561; 100
1950-02-01;--:--;      0.227;      0.227; 100
1950-03-01;--:--;      0.510;      0.510; 100
1950-04-01;--:--;      2.799;      2.800; 100
1950-05-01;--:--;      7.870;      7.870; 100
1950-06-01;--:--;      3.191;      3.192; 100
1950-07-01;--:--;     36.225;     36.225; 100
1950-08-01;--:--;      7.154;      7.154; 100
1950-09-01;--:--;      4.847;      4.847; 100
1950-10-01;--:--;     25.015;     25.015; 100
1950-11-01;--:--;      6.259;      6.259; 100
1950-12-01;--:--;      4.129;      4.129; 100
1951-01-01;--:--;     18.782;     18.782; 100
1951-02-01;--:--;      0.764;      0.765; 100
1951-03-01;--:--;      0.427;      0.427; 100
1951-04-01;--:--;      1.339;      1.339; 100
1951-05-01;--:--;     13.823;     13.823; 100
1951-06-01;--:--;     28.338;     28.338; 100
1951-07-01;--:--;     36.824;     36.824; 100
1951-08-01;--:--;     27.431;     27.431; 100
1951-09-01;--:--;     18.023;     18.023; 100
1951-10-01;--:--;      7.686;      7.686; 100
1951-11-01;--:--;      6.955;      6.955; 100
1951-12-01;--:--;      2.806;      2.806; 100
1952-01-01;--:--;      0.453;      0.453; 100
1952-02-01;--:--;      0.222;      0.222; 100
1952-03-01;--:--;      0.183;      0.183; 100
1952-04-01;--:--;      0.411;      0.411; 100
1952-05-01;--:--;      6.990;      6.990; 100
1952-06-01;--:--;      8.760;      8.761; 100
1952-07-01;--:--;     19.251;     19.251; 100
1952-08-01;--:--;     56.883;     56.883; 100
1952-09-01;--:--;     21.393;     21.393; 100
1952-10-01;--:--;     10.055;     10.055; 100
1952-11-01;--:--;      6.976;      6.976; 100
1952-12-01;--:--;      3.691;      3.691; 100
1953-01-01;--:--;      0.208;      0.208; 100
1953-02-01;--:--;      0.910;      0.910; 100
1953-03-01;--:--;      3.562;      3.562; 100
1953-04-01;--:--;     25.005;     25.005; 100
1953-05-01;--:--;     19.851;     19.851; 100
1953-06-01;--:--;     17.755;     17.755; 100
1953-07-01;--:--;     31.558;     31.558; 100
1953-08-01;--:--;     52.827;     52.827; 100
